pageRefs,normalizedText,moneyValue,dateValue,mentionText,id,confidence
[],,,,01/07/24 INTEREST PAID TILL 30-JUN-2024 19.00,4,0.86644131
[],,,,"28/06/24 UPI-ANKIT KUMAR 20,000.00",9,0.62477815
[],,,,"SINGH-ANKITDIPU92@IBL-HD
FC0001756-454613161245-AISE KAR LE",13,0.46106425
[],,,,"RANI-KOMALRANI905-1@OKAXIS-CIT
10000005-418086931480-UPI",15,0.372578
[1],,,,"HDFC BANK
We understand",16,0.96645886
[],,,,"28/06/24 UPI-KOMAL 06/24 19,000.00",17,0.26961112
[4],,,,15.00,20,0.94613463
[9],,,,25.00,20,0.95959002
[4],,,,72.00,25,0.94704682
[],,,,"12/07/24 REV-UPI-50100493997379-NSROHIT16-1@OKHDF
0000419402783071 135.00",26,0.93142968
[3],,,,"17/05/25 UPI-AMIT KUMAR-7767984663IDFC@AXL-IDFB00
0000903434613178 2,000.00",34,0.82175505
[9],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB28191747542T15 4,867.00",36,0.9232651
[1],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB15093111773T33 90,000.00",38,0.91487616
[2],,,,"15/05/25 2,000.00",38,0.81948549
[3],,,,80.00,39,0.89005899
[8],,,,01/04/25 INTEREST PAID TILL 31-MAR-2025 256.00,39,0.90755916
[5],,,,"02/01/23 UPI-NASIM ANSARI-PAYTMQR281005050101SWJ
0000300200586973 220.00",40,0.88033885
[2],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
M IB BILLPAY DR-HDFC97-361010XXXX8340
MB16175817001T18 90,000.00",41,0.9142943
[9],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB22081404323T32 40,000.00",41,0.88892114
[1],,,,"02/05/25 UPI-AMIT KUMAR-7767984663IDFC@YBL-IDFB00
0000525268696659 43,088.00",41,0.78848684
[9],,,,01/10/24 INTEREST PAID TILL 30-SEP-2024 237.00,41,0.87638134
[4],,,,01/01/25 INTEREST PAID TILL 31-DEC-2024 249.00,42,0.89224327
[],,,,"MR.
ROHIT KUMAR",43,0.87239391
[5],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB30160454566T16 8,680.00",43,0.8780371
[9],,,,"MR.
ROHIT KUMAR",44,0.87355208
[6],,,,"UPI-SHOP NO 1 MAGARPATT-GPAY-1120805778
0000232359374862 25.00",44,0.85749984
[],,,,"MR.
ROHIT KUMAR",44,0.87686741
[3],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB30162848406T33 54,807.00",45,0.7844649
[9],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB30094810309T27 45,000.00",45,0.87457323
[8],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB31215031169T46 497.00",46,0.8881771
[1],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB28174554218T47 47,834.00",46,0.86768293
[1],,,,"MR.
ROHIT KUMAR",47,0.8699528
[3],,,,"22/12/22 UPI-MAHESHKUMAR N
0000235641831877 100.00",47,0.87199205
[9],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB09135130082T43 13,000.00",48,0.85017353
[],,,,"OKSBI-SBIN0008784-697917981601-PAYMENT F
ROM PHONE",48,0.77355212
[4],,,,"MR.
ROHIT KUMAR",48,0.87294888
[9],,,,"MR.
ROHIT KUMAR",49,0.86591649
[6],,,,"MR.
ROHIT KUMAR",49,0.87051016
[1],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB02180451639T21 43,095.00",50,0.75704187
[8],,,,"MR.
ROHIT KUMAR",50,0.86288452
[2],,,,"MR.
ROHIT KUMAR",50,0.86837655
[1],,,,"19/11/23 UPI-SANJEET KUMAR-9950805886@YBL-SBIN00
0000368943778224 19/11/23 15,000.00",50,0.85952097
[6],,,,"MR.
ROHIT KUMAR",51,0.86069113
[4],,,,"MR.
ROHIT KUMAR",51,0.86831081
[],,,,"MR.
ROHIT KUMAR",51,0.86706132
[],,,,"MR.
ROHIT KUMAR",51,0.85753214
[1],,,,"05/11/22 UPI-PRADIP VITTHAL LAYGU-JAGTAP1996GAURI
0000230953166169 270.00",51,0.8452124
[9],,,,"BOCHARE-SUNIL.BOCHARE@PAYTM-PY
TM0123456-400898928881-UPI",52,0.83826041
[7],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB28064048411ET7 19,725.00",52,0.86384869
[9],,,,"11/11/23 UPI-PANDEY BROTHERS-PAYTMQR2810050501011
0000331558049513 555.00",52,0.85531294
[],,,,"24/04/25 UPI-KOMAL 1,000.00",53,0.74156904
[5],,,,"MR.
ROHIT KUMAR",53,0.85584199
[6],,,,"05/01/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000400568572084 270.00",54,0.83351588
[9],,,,"MR.
ROHIT KUMAR",54,0.85644549
[],,,,"01/08/22 NWD-416021XXXXXX9659-13547001-PUNE CITY
0000221320005 5,000.00",54,0.85361397
[1],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB04093203909T11 32,736.00",55,0.85153079
[2],,,,"22/12/22 UPI-PURABJI STATIONARY-PAYTMQR2810050501
0000235622168672 20.00",55,0.85626709
[5],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB29001718618T49 33,483.00",56,0.85318136
[1],,,,"MR.
ROHIT KUMAR",56,0.85834265
[5],,,,"MR.
ROHIT KUMAR
C1-702
KUMAR SHANTINIKETAN PHASE-1
PASHAN
PUNE 411021
MAHARASHTRA",56,0.84795946
[7],,,,10/11/24 107.00,56,0.85580927
[4],,,,"27/11/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000333165852380 350.00",56,0.82812887
[],,,,"23/04/25 UPI-KOMAL 3,000.00",57,0.72968388
[6],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,57,0.82995725
[7],,,,06/01/24 UPI-UBER INDIA SYSTEMS 108.29,58,0.82208842
[2],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB27112721512T25 9,237.00",58,0.84503257
[],,,,"SINGH-PAYTMQR167LUN@PAYTM-YESBOP
TMUPI-419475302291-UPI",58,0.82753378
[4],,,,"30/09/22 UPI-SAURABH KUMAR-7875226959@AXL-SBIN00
0000263985005378 34,020.00",58,0.84699655
[5],,,,"IB BILLPAY DR-HDFC97-361010XXXX8340
MB 19125810570T45 36,630.00",59,0.85068089
[],,,,"MR.
ROHIT KUMAR",59,0.84662694
[9],,,,"15/01/23 UPI-VAKESHWARPANSHOP-PAYTMQR281005050101
0000301596809523 36.00",59,0.85345614
[7],,,,"24/11/22 UPI-MUNA NASIR KHAN-PAYTMQR2810050501014
0000232877063743 20.00",59,0.81280112
[5],,,,"29/02/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000406087004182 365.00",60,0.84029925
[1],,,,"23/08/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000323521557848 66.00",60,0.81438452
[4],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,60,0.79155093
[4],,,,SINGH-PAYTMQR167LUN@PAYTM-YESBOP,60,0.80401897
[5],,,,"29/11/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000333360680737 150.00",60,0.82638168
[],,,,"23/04/25 UPI-KOMAL 3,000.00",61,0.71922135
[3],,,,BHOSALE-PAYTMQR6BZNLD8V,62,0.81712818
[9],,,,"MR.
ROHIT KUMAR
C1-702
KUMAR SHANTINIKETAN PHASE-1
PASHAN
PUNE 411021
MAHARASHTRA",62,0.84732789
[8],,,,"07/04/25 UPI-JR SAJAN KUMAR-7667718779@AXL-BDBL00
0000034264421109 345.00",62,0.8446123
[5],,,,"29/10/24 UPI-AMIT KUMAR-7767984663@YBL-SBIN00104
0000222378091675 1,000.00",62,0.8345136
[2],,,,"UPI-GAIKWAD ENTERPRISES-Q806562763@YBL-Y
0000421710315726 15.00",62,0.77425915
[7],,,,"IB BILLPAY DR-HDFC97-361010XXXX0144
MB27174756612T16 13,148.00",62,0.80457002
[9],,,,"SYS-ENPS.RZP@HDFCBA
NK-HDFC0000053-502977854715-229012025128
865991",63,0.82174033
[1],,,,"HOTEL-PAYTMQR2810050501015L4
YEODN2K11@PAYTM-PYTM0123456-230850329158",63,0.7983942
[6],,,,"15/10/22 UPI-MANPASAND
0000228816790060 310.00",63,0.84275526
[],,,,"29/12/23 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000336320846836 105.00",64,0.80979484
[4],,,,"18/01/24 UPI-SUMIT DILIP
0000401872314621 110.00",64,0.83978325
[9],,,,"12/11/23 UPI-SWEET-PAYTMQRRBJ5FLWY7W@PAYTM-PYTM01
0000 195.00",64,0.78525513
[8],,,,"17/12/23 UPI-SEEMA DEVI-HARSHRAJ8527@IBL-SBIN002
0000371704105035 7,000.00",64,0.82423991
[9],,,,"24/03/24 UPI-DEEPAK KUMAR-8229841508@YBL-BKID0005
0000445049131787 230.00",65,0.81574756
[],,,,"23/04/25 UPI-KOMAL 3,000.00",65,0.7146154
[],,,,"17/12/24 UPI-MS LEGAL SOLUTIONS-EAZYPAY1179@ICICI
0000435215178216 7,600.00",65,0.81818378
[9],,,,"SINGH-PAYTMQR167LUN@PAYTM-YESBOP
TMUPI-423974372355-PAY BY WHATSAPP",65,0.77162385
[3],,,,"10/09/24 UPI-RAJ SUPER MARKET-PAYTMQR281005050101
0000425412220092 74.00",65,0.80019403
[],,,,"04/11/22 UPI-RAJU PAL-PAYTMQR2810050501011K1R3YRM
0000230804043606 25.00",65,0.79041553
[6],,,,"31/10/24 NEFT CR-YESB0000001-ZERODHA BROKING LTD-
YESF343053730675 31/10/24 12,039.94",66,0.82913554
[9],,,,ZGSAZKCO75TF@PAYTM-PYTM0123456-301596809,66,0.83316296
[6],,,,ENTERPRISES-PAYTMQR1OF9SUBCI,67,0.76458478
[3],,,,"FOO-PAYTMQR53POEJ50
IC@PAYTM-PYTM0123456-336581282801-UPI",68,0.80222046
[7],,,,"26/01/24 UPI-UBER INDIA SYSTEMS
0000402690384856 119.69",68,0.83123356
[8],,,,"07/04/25 UPI-SAURABH KUMAR-7875226959@AXL-SBIN00
0000889687393239 15,000.00",68,0.79451174
